ID,Brand,Model,Color,Nib Size,Ink Color,Purchase Date,Price,Notes
68,cello,Jotdot,blue ; bronze ; silver,,blue,2016-10-01,60.0,3 pen set ; Ballpoint Retractable
69,Camlin,TRI MECH PEN PENCIL KIT,,,pencil,2020-03-01,59.0,"Camlin Klick Mechanical Pencil ; free 3 Lead Tubes , Eraser"
70,ZOOX,F7,aqua,,blue,2023-01-01,40.0,Roller Gel Pen
71,HAUSER,ICONIQ GEL,black,,blue,2023-05-01,20.0,Gel Pen
72,CLARO,FUN gel,white,,blue,2015-04-01,10.0,Gel Pen
73,pierre cardin,Pearl,black-gold,,blue,2021-10-01,250.0,Ball Pen ; White Pearl
74,cello,CRICKET FEVER,,,,2019-04-01,50.0,"set ; 1 Mechanical Pencil ( cello Supreme ) , 2 Gel Pens ( TRISTAR , Buttergel )"
75,LINC,INKLUSION,pattern,,blue,2019-07-01,20.0,Gel Pen
76,cello,MAXTREME,pattern,0.6,blue,2019-03-01,20.0,Ball Pen
77,LINC,uni-ball Signo Gelstick UM-170,black,,black,2019-01-01,30.0,Gel Pen
78,classmate,Asteroid,,,,2016-11-01,250.0,Geometry Box
79,classmate,OCTANE BALL,blue,,blue,2021-09-01,50.0,Set of 5 Ball Pen
80,Flair,Writo-meter,yellow,,blue,2019-03-01,20.0,Ball Pen
81,Elkos,Genius,pattern,,blue,2018-05-01,10.0,Ball Pen
82,K-NINE,SPEED MASTER,silever,,blue,2018-11-01,150.0,Roller Pen Metal
83,LINC,uni-ball eye UB-157,grey,,blue,2019-03-01,60.0,Roller Pen
84,classmate,OCTANE NEON,vibrant colours,,blue,2021-12-01,50.0,set of 5 Gel Pen
85,cello,Papersoft,"blue , red , green",,blue,2017-02-01,60.0,set of 3 Ball Pen
86,Elkos,oxer,green,,blue,2021-02-01,10.0,Ball Pen
87,cello,Butterflow METALLIC,blue,,blue,2019-10-01,20.0,Ball Pen
88,Reynolds,JETTER CLASSIC,orange,,blue,2019-12-01,20.0,Ball Pen
89,PARKER,VECTOR MATTE BLACK NEW - BLACK SERIES,black,,blue,2018-01-01,475.0,Roller Ball Pen ; free Logo Keychain
90,classmate,ARCHIMEDES,,,,2019-10-01,150.0,Geometry Box
91,cello,Bronza Dx,gold,,blue,2022-02-01,100.0,Ball Pen 
92,WIN,Optic,black,,blue,2019-02-01,10.0,Ball Pen
93,pierre cardin,LA-PAZ,purple,,blue,2022-06-01,140.0,Ball Pen
94,LINC,uni-ball Signo Gelstick UM-170 (blue),blue,,blue,2018-10-01,30.0,Gel Pen
95,Montex,ANTIQUE,bronze,,blue,2016-06-01,100.0,Metal Ball Pen
96,UNOMAX,NERO,black,,blue,2022-03-01,100.0,
97,Flair,Regal,black,,blue,2019-02-01,85.0,Metal Ball Pen
98,cello,Sapphire,silver,,blue,2014-11-01,35.0,Retractable Ball Pen
99,Camlin,NOVA,,,,2019-05-01,150.0,Geometry Box
100,cello,"POWER FINE Ball , Genius Gel",silver,,blue,2015-02-01,45.0,set of 2 pens
101,cello,ACCUGRIP,silver,,blue,2020-03-01,60.0,Retractable Ball Pen
102,WIN,Glitter Pen,,,,2017-07-01,100.0,set of 10 pens Gel
103,pierre cardin,Golden Era,satin gold-black,,blue,2021-11-01,300.0,Ball Pen
104,SUPRA,b&g,black,,,2023-01-01,15.0,Ball Pen
105,Flair,SPECTRA,black,,blue,2022-07-01,125.0,Metal Ball Pen
106,Souvenir,Spider-Man Cap Plastic Body Water Pen,transparent,,,2023-01-01,10.0,Souvenir
107,Reynolds,TRIMAX,black,0.5,blue,2023-01-01,20.0,
108,cello,Aqua Gel,yellow-white,,blue,2023-01-01,10.0,Gel Pen
109,Optic,Square,white,,blue,2023-01-01,10.0,Ball Pen
110,SUPRA,OMG,black,,blue,2023-01-01,10.0,Ball Pen
111,Elkos,colours,red,,red,2023-01-01,10.0,Ball Pen
